time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-12T18:21:46.328Z,27.901,53.8254,17.391,4.3,mb,34,67,3.635,0.67,us,us6000jngz,2023-02-13T11:03:09.478Z,"",earthquake,10.97,4.907,0.116,21,reviewed,us,us
2023-02-08T04:01:16.829Z,32.265,49.7516,10,4.3,mb,21,86,4.92,0.47,us,us6000jmfb,2023-02-08T05:24:30.040Z,"western Iran",earthquake,7.44,1.826,0.153,12,reviewed,us,us
2023-02-07T02:30:56.818Z,26.8281,55.2072,10,4.5,mb,18,97,2.079,0.78,us,us6000jm52,2023-02-09T08:50:19.819Z,"44 km NE of Bandar-e Lengeh, Iran",earthquake,7.06,1.952,0.164,11,reviewed,us,us
2023-01-27T09:36:37.331Z,30.5496,50.3913,10,4.4,mb,62,80,7.594,0.57,us,us6000jjmx,2023-01-27T11:10:06.040Z,"",earthquake,8.75,1.875,0.086,39,reviewed,us,us
2023-01-27T06:19:30.469Z,29.3398,51.2867,10,4,mb,17,91,6.192,0.51,us,us6000jm0s,2023-02-09T07:53:04.040Z,"10 km NE of Bor?zj?n, Iran",earthquake,8.03,1.882,0.232,5,reviewed,us,us
2023-01-12T08:44:29.909Z,26.8041,55.2808,10,4.2,mb,22,114,2.029,0.31,us,us7000j5tr,2023-02-16T09:25:43.040Z,"48 km NE of Bandar-e Lengeh, Iran",earthquake,5.76,1.915,0.136,15,reviewed,us,us
2023-01-12T01:22:45.534Z,26.8052,53.7556,10,4.2,mb,16,118,2.88,0.63,us,us7000j5te,2023-01-24T01:29:47.040Z,"southern Iran",earthquake,10.56,1.926,0.199,7,reviewed,us,us
2023-01-10T16:17:05.437Z,27.6733,56.1838,10,4.3,mb,65,63,2.717,0.67,us,us7000j3et,2023-02-08T15:05:36.040Z,"54 km N of Bandar Abbas, Iran",earthquake,3.99,1.833,0.083,41,reviewed,us,us
2023-01-04T16:19:58.245Z,26.8335,55.1568,16.611,4.1,mb,46,107,2.104,0.56,us,us7000j23c,2023-01-23T04:38:26.040Z,"41 km NE of Bandar-e Lengeh, Iran",earthquake,7.06,3.865,0.086,37,reviewed,us,us
2022-12-28T16:51:24.737Z,27.953,55.786,10,4.5,mb,83,56,3.019,0.49,us,us7000j0nb,2023-01-12T04:44:41.040Z,"",earthquake,4.52,1.853,0.072,56,reviewed,us,us
2022-12-25T21:55:42.270Z,28.554,52.716,10,4.4,mb,20,95,4.758,0.76,us,us7000j2jz,2023-01-31T22:03:34.040Z,"35 km SSE of F?r?z?b?d, Iran",earthquake,5,1.941,0.203,7,reviewed,us,us
2022-12-25T16:48:43.795Z,28.6564,51.6318,10,4.1,mb,20,97,5.509,0.31,us,us6000jbma,2023-01-22T20:00:21.040Z,"southern Iran",earthquake,10.77,1.979,0.157,11,reviewed,us,us
2022-12-24T20:20:00.018Z,27.716,56.2185,10,4.1,mb,28,113,2.759,0.84,us,us7000j2bq,2023-01-06T04:17:36.040Z,"58 km N of Bandar Abbas, Iran",earthquake,12.08,1.933,0.165,10,reviewed,us,us
2022-12-24T13:24:39.123Z,34.0313,57.1703,10,5.3,mww,75,68,9.094,0.75,us,us6000jbg1,2023-02-04T18:39:13.040Z,"Northeastern Iran",earthquake,7.31,1.852,0.075,17,reviewed,us,us
2022-12-13T14:14:27.412Z,33.9776,57.144,10,5.1,mww,90,63,9.038,0.45,us,us6000j8zz,2023-01-18T20:43:21.040Z,"46 km NNE of Tabas, Iran",earthquake,7.76,1.8,0.068,21,reviewed,us,us
2022-12-12T03:57:57.785Z,26.7486,55.0158,10,4.2,mb,48,113,2.091,0.44,us,us6000j8ps,2022-12-19T03:42:48.335Z,"25 km NNE of Bandar-e Lengeh, Iran",earthquake,10.3,1.905,0.095,31,reviewed,us,us
2022-12-08T05:13:04.849Z,27.6687,53.0469,10,4.3,mb,33,213,9.709,0.6,us,us6000j7u8,2023-02-11T23:03:15.040Z,"20 km NE of Mohr, Iran",earthquake,14.57,1.994,0.113,22,reviewed,us,us
2022-12-05T05:17:09.564Z,29.9952,51.1002,10,4.2,mb,47,68,6.771,0.43,us,us6000j85g,2023-02-11T23:03:20.040Z,"42 km WSW of N?r?b?d, Iran",earthquake,6.82,1.832,0.102,27,reviewed,us,us
2022-12-02T20:49:59.063Z,26.8276,55.2041,16.531,4.2,mb,68,42,2.08,0.61,us,us6000j6fe,2023-02-05T23:26:09.040Z,"43 km NE of Bandar-e Lengeh, Iran",earthquake,7.99,2.06,0.077,52,reviewed,us,us
2022-12-02T06:43:13.525Z,26.7394,55.1025,10,4.4,mb,45,87,2.044,0.45,us,us6000j68r,2023-02-05T23:25:59.040Z,"29 km NE of Bandar-e Lengeh, Iran",earthquake,8.58,1.882,0.102,28,reviewed,us,us
2022-12-01T23:29:33.142Z,26.8687,55.1851,10,4.2,mb,63,55,2.124,0.75,us,us6000j66u,2023-02-05T23:25:54.040Z,"45 km NE of Bandar-e Lengeh, Iran",earthquake,5.55,1.686,0.078,46,reviewed,us,us
2022-12-01T18:54:44.734Z,32.1274,50.2736,10,4.3,mb,50,66,4.829,0.63,us,us6000j658,2023-02-05T23:25:53.040Z,"30 km WSW of F?rs?n, Iran",earthquake,4.86,1.861,0.102,27,reviewed,us,us
2022-12-01T18:18:10.128Z,26.8375,55.1998,10,4.7,mb,111,41,2.09,0.85,us,us6000j64v,2023-02-05T23:25:52.040Z,"44 km NE of Bandar-e Lengeh, Iran",earthquake,7.65,1.826,0.049,125,reviewed,us,us
2022-11-30T22:19:32.961Z,26.8076,55.1829,10,4.2,mb,68,98,2.07,0.69,us,us6000j5vx,2023-02-05T23:25:38.040Z,"40 km NE of Bandar-e Lengeh, Iran",earthquake,5.68,1.888,0.078,46,reviewed,us,us
2022-11-30T17:18:04.181Z,26.8456,55.1789,16.891,4.6,mb,94,37,2.106,0.76,us,us6000j5ua,2023-02-05T23:25:36.040Z,"43 km NE of Bandar-e Lengeh, Iran",earthquake,7.7,3.768,0.058,88,reviewed,us,us
2022-11-30T15:17:41.697Z,26.8866,55.2391,6,5.7,mww,126,30,2.12,0.62,us,us6000j5sn,2023-02-05T23:25:35.040Z,"southern Iran",earthquake,7.76,1.764,0.048,42,reviewed,us,us
2022-11-17T13:59:32.404Z,26.9637,55.2174,10,5,mww,92,32,2.198,0.59,us,us7000iqen,2023-01-28T19:58:21.040Z,"southern Iran",earthquake,8.12,1.825,0.089,12,reviewed,us,us
2022-11-15T15:02:34.646Z,27.7191,56.0137,10,4.6,mb,64,104,2.768,0.54,us,us7000ipva,2023-01-28T19:58:17.040Z,"64 km NNW of Bandar Abbas, Iran",earthquake,10.62,1.875,0.078,51,reviewed,us,us
2022-11-12T22:48:01.836Z,30.2246,57.5544,10,4.2,mb,63,95,5.394,0.7,us,us7000ipd6,2023-01-28T19:58:10.040Z,"46 km E of Kerman, Iran",earthquake,9.06,1.931,0.087,37,reviewed,us,us
2022-11-11T18:44:08.866Z,27.5471,56.1092,10,4.6,mb,104,61,2.593,0.51,us,us7000ip4k,2023-01-21T19:27:23.040Z,"43 km NNW of Bandar Abbas, Iran",earthquake,7.35,1.716,0.055,98,reviewed,us,us
2022-11-11T10:36:24.555Z,27.7121,56.0058,10,4.2,mb,70,59,2.761,0.43,us,us7000ip0j,2023-01-21T19:27:21.040Z,"64 km NNW of Bandar Abbas, Iran",earthquake,8.5,1.868,0.079,45,reviewed,us,us
2022-11-03T02:03:13.887Z,27.7781,57.4801,10,4.1,mb,39,85,3.045,0.51,us,us7000im3g,2023-01-12T23:11:06.040Z,"81 km NNE of M?n?b, Iran",earthquake,7.4,1.883,0.112,22,reviewed,us,us
2022-11-02T08:07:03.814Z,26.3522,54.8717,10,4.1,mb,31,114,1.846,0.91,us,us7000in3t,2023-01-12T23:11:36.040Z,"southern Iran",earthquake,6.24,1.868,0.158,11,reviewed,us,us
2022-10-31T16:08:38.061Z,25.9532,60.3815,10,4.1,mb,20,136,3.907,0.88,us,us7000imhy,2023-01-12T23:11:28.040Z,"34 km SSE of N?kshahr, Iran",earthquake,7.7,1.913,0.175,10,reviewed,us,us
2022-10-30T00:49:05.189Z,27.3165,55.6221,10,4,mb,36,122,2.419,0.82,us,us7000im82,2023-01-12T23:11:16.040Z,"66 km WNW of Bandar Abbas, Iran",earthquake,7.33,1.73,0.105,24,reviewed,us,us
2022-10-24T11:21:08.588Z,26.8864,55.3557,10,4.3,mb,36,93,2.079,0.38,us,us7000iky6,2023-01-03T15:23:45.040Z,"59 km NE of Bandar-e Lengeh, Iran",earthquake,9.87,1.935,0.111,23,reviewed,us,us
